,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,コース１,コース１.1,コース１.2,コース１.3,コース2,コース2.1,コース2.2,コース2.3,Par,Yards,CourseRating,SlopeRating
17,6483,6483,知多カントリー倶楽部,西,Aグリーン,バック,2009.03.18,中,Aグリーン,バック_,2009.03.18,72,6485,76.5,137
18,6484,6484,知多カントリー倶楽部,西,Aグリーン,レギュラー,2009.03.18,中,Aグリーン,レギュラー,2009.03.18,72,6054,74.3,132
19,6485,6485,知多カントリー倶楽部,西,Aグリーン,フロント,2009.03.18,中,Aグリーン,フロント,2009.03.18,72,6640,72.1,126
20,6486,6486,知多カントリー倶楽部,西,Aグリーン,レディース,2009.03.18,中,Aグリーン,レディース,2009.03.18,72,5474,71.1,123
21,6487,6487,知多カントリー倶楽部,西,Bグリーン,バック_,2009.03.18,中,Bグリーン,バック_,2009.03.18,72,6372,75.6,135
22,6488,6488,知多カントリー倶楽部,西,Bグリーン,レギュラー,2009.03.18,中,Bグリーン,レギュラー_,2009.03.18,72,5941,73.4,129
23,6489,6489,知多カントリー倶楽部,西,Bグリーン,フロント,2009.03.18,中,Bグリーン,フロント,2009.03.18,72,5530,71.3,124
24,6490,6490,知多カントリー倶楽部,西,Bグリーン,レディース,2009.03.18,中,Bグリーン,レディース,2009.03.18,72,5364,70.5,122
25,6491,6491,知多カントリー倶楽部,中,Aグリーン,バック,2009.03.18,東,Aグリーン,バック,2009.03.18,72,6628,77.1,139
26,6492,6492,知多カントリー倶楽部,中,Aグリーン,レギュラー,2009.03.18,東,Aグリーン,レギュラー,2009.03.18,72,6184,74.9,133
27,6493,6493,知多カントリー倶楽部,中,Aグリーン,フロント,2009.03.18,東,Aグリーン,フロント_,2009.03.18,72,5770,72.8,128
28,6494,6494,知多カントリー倶楽部,中,Aグリーン,レディース,2009.03.18,東,Aグリーン,レディース,2009.03.18,72,5598,71.7,125
29,6495,6495,知多カントリー倶楽部,中,Bグリーン,バック,2009.03.18,東,Bグリーン,バック,2009.03.18,72,6480,76.2,137
30,6496,6496,知多カントリー倶楽部,中,Bグリーン,レギュラー,2009.03.18,東,Bグリーン,レギュラー,2009.03.18,72,6036,73.9,131
31,6497,6497,知多カントリー倶楽部,中,Bグリーン,フロント,2009.03.18,東,Bグリーン,フロント,2009.03.18,72,5625,71.8,125
32,6498,6498,知多カントリー倶楽部,中,Bグリーン,レディース,2009.03.18,東,Bグリーン,レディース,2009.03.18,72,5453,71.0,123
33,6269,6269,岡崎カントリー倶楽部,OUT,Aグリーン,ブラック,2021.09.14,IN,Aグリーン,ブラック,2021.09.14,72,6114,76.3,137
34,6270,6270,岡崎カントリー倶楽部,OUT,Aグリーン,ブルー,2021.09.14,IN,Aグリーン,ブルー,2021.09.14,72,6020,75.9,135
35,6271,6271,岡崎カントリー倶楽部,OUT,Aグリーン,ホワイト,2021.09.14,IN,Aグリーン,ホワイト,2021.09.14,72,5618,73.2,131
36,6272,6272,岡崎カントリー倶楽部,OUT,Aグリーン,グリーン,2021.09.14,IN,Aグリーン,グリーン,2021.09.14,72,5225,71.2,128
37,6273,6273,岡崎カントリー倶楽部,OUT,Aグリーン,レッド,2021.09.14,IN,Aグリーン,レッド,2021.09.14,72,4480,67.0,117
38,6274,6274,岡崎カントリー倶楽部,OUT,Bグリーン,ブラック,2021.09.14,IN,Bグリーン,ブラック,2021.09.14,72,6459,78.3,141
39,6275,6275,岡崎カントリー倶楽部,OUT,Bグリーン,ブルー,2021.09.14,IN,Bグリーン,ブルー,2021.09.14,72,6365,77.8,140
40,6276,6276,岡崎カントリー倶楽部,OUT,Bグリーン,ホワイト,2021.09.14,IN,Bグリーン,ホワイト,2021.09.14,72,5963,75.2,139
41,6277,6277,岡崎カントリー倶楽部,OUT,Bグリーン,グリーン,2021.09.14,IN,Bグリーン,グリーン,2021.09.14,72,5570,72.8,133
42,6278,6278,岡崎カントリー倶楽部,OUT,Bグリーン,レッド,2021.09.14,IN,Bグリーン,レッド,2021.09.14,72,4825,68.5,126
43,9528,9528,北条カントリー倶楽部,OUT,ベント,フロント,2012.04.18,IN,ベント,フロント,2012.04.18,72,6112,75.0,131
44,9529,9529,北条カントリー倶楽部,OUT,ベント,ゴールド,2012.04.18,IN,ベント,ゴールド,2012.04.18,72,5542,71.8,124
45,9530,9530,北条カントリー倶楽部,OUT,ベント,レディース,2012.04.18,IN,ベント,レディース,2012.04.18,72,5169,69.5,121
46,9531,9531,北条カントリー倶楽部,OUT,ベント,ピンク,2012.04.18,IN,ベント,ピンク,2012.04.18,72,4895,68.0,118
47,9532,9532,北条カントリー倶楽部,OUT,ベント(サブ),フロント,2012.04.18,IN,ベント(サブ),フロント,2012.04.18,72,5766,72.7,123
48,9533,9533,北条カントリー倶楽部,OUT,ベント(サブ),ゴールド,2012.04.18,IN,ベント(サブ),ゴールド,2012.04.18,72,5226,69.5,118
49,9534,9534,北条カントリー倶楽部,OUT,ベント(サブ),レディース,2012.04.18,IN,ベント(サブ),レディース,2012.04.18,72,4837,67.7,114
50,9535,9535,北条カントリー倶楽部,OUT,ベント(サブ),ピンク,2012.04.18,IN,ベント(サブ),ピンク,2012.04.18,72,4532,65.6,109
51,6235,6235,犬山カンツリー倶楽部,OUT,KG,バック,2017.09.14,IN,KG,バック,2017.09.14,72,6779,79.9,138
52,6236,6236,犬山カンツリー倶楽部,OUT,KG,レギュラー,2017.09.14,IN,KG,レギュラー,2017.09.14,72,6422,77.8,137
53,6237,6237,犬山カンツリー倶楽部,OUT,KG,フロント,2017.09.14,IN,KG,フロント,2017.09.14,72,6272,77.1,134
54,6238,6238,犬山カンツリー倶楽部,OUT,KG,シニア,2017.09.14,IN,KG,シニア,2017.09.14,72,5729,73.8,128
55,6239,6239,犬山カンツリー倶楽部,OUT,KG,レディース,2017.09.14,IN,KG,レディース,2017.09.14,72,5132,70.3,121
56,6240,6240,犬山カンツリー倶楽部,OUT,BG,バック,2017.09.14,IN,BG,バック,2017.09.14,72,6765,80.2,139
57,6241,6241,犬山カンツリー倶楽部,OUT,BG,レギュラー,2017.09.14,IN,BG,レギュラー,2017.09.14,72,6409,77.8,138
58,6242,6242,犬山カンツリー倶楽部,OUT,BG,フロント,2017.09.14,IN,BG,フロント,2017.09.14,72,6247,77.2,137
59,6243,6243,犬山カンツリー倶楽部,OUT,BG,シニア,2017.09.14,IN,BG,シニア,2017.09.14,72,5716,73.8,130
60,6244,6244,犬山カンツリー倶楽部,OUT,BG,レディース,2017.09.14,IN,BG,レディース,2017.09.14,72,5121,70.3,128
61,10105,10105,愛野カントリー倶楽部,OUT,ベント・メイン,BT,2016.11.02,IN,ベント・メイン,BT,2016.11.02,72,7153,81.2,146
62,10106,10106,愛野カントリー倶楽部,OUT,ベント・メイン,RT,2016.11.02,IN,ベント・メイン,RT,2016.11.02,72,6734,79.1,141
63,10107,10107,愛野カントリー倶楽部,OUT,ベント・メイン,FT,2016.11.02,IN,ベント・メイン,FT,2016.11.02,72,6318,76.5,136
64,10108,10108,愛野カントリー倶楽部,OUT,ベント・メイン,ST,2016.11.02,IN,ベント・メイン,ST,2016.11.02,72,5882,74.2,132
65,10109,10109,愛野カントリー倶楽部,OUT,ベント・メイン,GT,2016.11.02,IN,ベント・メイン,GT,2016.11.02,72,5520,72.2,127
66,10110,10110,愛野カントリー倶楽部,OUT,ベント・メイン,LT,2016.11.02,IN,ベント・メイン,LT,2016.11.02,72,4889,68.8,121
67,10111,10111,愛野カントリー倶楽部,OUT,ベント・サブ,BT,2016.11.02,IN,ベント・サブ,BT,2016.11.02,72,7004,80.1,143
68,10112,10112,愛野カントリー倶楽部,OUT,ベント・サブ,RT,2016.11.02,IN,ベント・サブ,RT,2016.11.02,72,6585,77.9,138
69,10113,10113,愛野カントリー倶楽部,OUT,ベント・サブ,FT,2016.11.02,IN,ベント・サブ,FT,2016.11.02,72,6174,75.4,133
70,10114,10114,愛野カントリー倶楽部,OUT,ベント・サブ,ST,2016.11.02,IN,ベント・サブ,ST,2016.11.02,72,5733,73.1,129
71,10115,10115,愛野カントリー倶楽部,OUT,ベント・サブ,GT,2016.11.02,IN,ベント・サブ,GT,2016.11.02,72,5368,71.2,124
72,10116,10116,愛野カントリー倶楽部,OUT,ベント・サブ,LT,2016.11.02,IN,ベント・サブ,LT,2016.11.02,72,4720,67.6,118
73,8178,8178,奈良若草カントリー倶楽部,若草,ベント,フロント1_,2015.02.26,生駒,ベント,フロント1,2002.06.25,72,6041,73.5,130
74,8179,8179,奈良若草カントリー倶楽部,若草,ベント,フロント2,2002.06.25,生駒,ベント,フロント2,2002.06.25,72,5511,70.7,122
75,8180,8180,奈良若草カントリー倶楽部,生駒,ベント,フロント1_,2002.06.25,吉野,ベント,フロント1_,2002.06.25,72,5954,73.4,129
76,8181,8181,奈良若草カントリー倶楽部,生駒,ベント,フロント2,2002.06.25,吉野,ベント,フロント2,2002.06.25,72,5554,71.3,124
77,8182,8182,奈良若草カントリー倶楽部,吉野,ベント,フロント1,2002.06.25,若草,ベント,フロント1,2002.06.25,72,5969,73.5,130
78,8183,8183,奈良若草カントリー倶楽部,吉野,ベント,フロント2,2002.06.25,若草,ベント,フロント2,2002.06.25,72,5515,71.0,123
79,5661,5661,新陽カントリー倶楽部,OUT,ベント,ブラック,2015.09.01,IN,ベント,ブラック,2015.09.01,72,7039,81.0,145
80,5662,5662,新陽カントリー倶楽部,OUT,ベント,ブルー,2015.09.01,IN,ベント,ブルー,2015.09.01,72,6550,78.3,140
81,5663,5663,新陽カントリー倶楽部,OUT,ベント,ホワイト,2015.09.01,IN,ベント,ホワイト,2015.09.01,72,5998,75.2,134
82,5664,5664,新陽カントリー倶楽部,OUT,ベント,レッド,2015.09.01,IN,ベント,レッド,2015.09.01,72,5092,70.2,123
83,8504,8504,作州武蔵カントリー倶楽部,播磨,ベント,バック,2020.07.10,美作,ベント,バック,2020.07.10,72,6830,79.7,147
84,8505,8505,作州武蔵カントリー倶楽部,播磨,ベント,レギュラー,2020.07.10,美作,ベント,レギュラー,2020.07.10,72,6501,78.0,143
85,8506,8506,作州武蔵カントリー倶楽部,播磨,ベント,フロント,2020.07.10,美作,ベント,フロント,2020.07.10,72,6175,76.2,140
86,8507,8507,作州武蔵カントリー倶楽部,播磨,ベント,ゴールド,2020.07.10,美作,ベント,ゴールド,2020.07.10,72,6024,75.4,138
87,8508,8508,作州武蔵カントリー倶楽部,播磨,ベント,レディース,2020.07.10,美作,ベント,レディース,2020.07.10,72,5497,72.6,131
88,8509,8509,作州武蔵カントリー倶楽部,美作,ベント,バック,2020.07.10,因幡,ベント,バック,2020.07.10,72,6916,80.1,145
89,8510,8510,作州武蔵カントリー倶楽部,美作,ベント,レギュラー,2020.07.10,因幡,ベント,レギュラー,2020.07.10,72,6589,78.4,141
90,8511,8511,作州武蔵カントリー倶楽部,美作,ベント,フロント,2020.07.10,因幡,ベント,フロント,2020.07.10,72,6256,76.5,139
91,8512,8512,作州武蔵カントリー倶楽部,美作,ベント,ゴールド,2020.07.10,因幡,ベント,ゴールド,2020.07.10,72,6121,75.8,137
92,8513,8513,作州武蔵カントリー倶楽部,美作,ベント,レディース,2020.07.10,因幡,ベント,レディース,2020.07.10,72,5524,72.6,128
93,8514,8514,作州武蔵カントリー倶楽部,因幡,ベント,バック,2020.07.10,播磨,ベント,バック,2020.07.10,72,6804,79.2,144
98,8829,8829,広島西カントリー倶楽部,OUT,ベント,フルバック,2018.05.18,IN,ベント,フルバック,2018.05.18,72,6599,79.0,144
99,8830,8830,広島西カントリー倶楽部,OUT,ベント,バック,2018.05.18,IN,ベント,バック,2018.05.18,72,6519,78.6,143
100,8831,8831,広島西カントリー倶楽部,OUT,ベント,レギュラー,2018.05.18,IN,ベント,レギュラー,2018.05.18,72,6186,76.8,140
101,8832,8832,広島西カントリー倶楽部,OUT,ベント,フロント,2018.05.18,IN,ベント,フロント,2018.05.18,72,5923,75.7,138
102,8833,8833,広島西カントリー倶楽部,OUT,ベント,レディース,2018.05.18,IN,ベント,レディース,2018.05.18,72,5386,72.8,131
103,8899,8899,本郷カントリー倶楽部,OUT,Aベント,バック,2020.04.07,IN,Aベント,バック,2020.04.07,72,6837,79.5,149
104,8900,8900,本郷カントリー倶楽部,OUT,Aベント,レギュラー,2020.04.07,IN,Aベント,レギュラー,2020.04.07,72,6437,77.4,144
105,8901,8901,本郷カントリー倶楽部,OUT,Aベント,月例,2020.04.07,IN,Aベント,月例,2020.04.07,72,6336,76.8,143
106,8902,8902,本郷カントリー倶楽部,OUT,Aベント,フロント,2020.04.07,IN,Aベント,フロント,2020.04.07,72,6049,75.3,139
107,8903,8903,本郷カントリー倶楽部,OUT,Aベント,シニア月例,2020.04.07,IN,Aベント,シニア月例,2020.04.07,72,6004,75.0,139
108,8904,8904,本郷カントリー倶楽部,OUT,Aベント,シニア,2020.04.07,IN,Aベント,シニア,2020.04.07,72,5423,71.7,129
127,9083,9083,柳井カントリー倶楽部,OUT,メイン(ベント),フロント,2014.06.16,IN,メイン(ベント),フロント,2014.06.16,72,6182,74.1,131
128,9084,9084,柳井カントリー倶楽部,OUT,メイン(ベント),レディース,2014.06.16,IN,メイン(ベント),レディース,2014.06.16,72,5193,69.0,122
129,9085,9085,柳井カントリー倶楽部,OUT,サブ(ベント),バック,2014.06.16,IN,サブ(ベント),バック,2014.06.16,72,6863,77.9,141
130,9086,9086,柳井カントリー倶楽部,OUT,サブ(ベント),レギュラー,2014.06.16,IN,サブ(ベント),レギュラー,2014.06.16,72,6547,76.4,132
131,9087,9087,柳井カントリー倶楽部,OUT,サブ(ベント),フロント,2014.06.16,IN,サブ(ベント),フロント,2014.06.16,72,6221,74.4,130
132,9088,9088,柳井カントリー倶楽部,OUT,サブ(ベント),レディース,2014.06.16,IN,サブ(ベント),レディース,2014.06.16,72,5246,69.3,121
133,9089,9089,柳井カントリー倶楽部,IN,メイン(ベント),バック,2014.06.16,中,メイン(ベント),バック,2014.06.16,72,6620,77.3,134
134,9090,9090,柳井カントリー倶楽部,IN,メイン(ベント),レギュラー,2014.06.16,中,メイン(ベント),レギュラー,2014.06.16,72,6319,75.9,128
135,9091,9091,柳井カントリー倶楽部,IN,メイン(ベント),フロント,2014.06.16,中,メイン(ベント),フロント,2014.06.16,72,6009,73.8,126
136,9092,9092,柳井カントリー倶楽部,IN,メイン(ベント),レディース,2014.06.16,中,メイン(ベント),レディース,2014.06.16,72,5027,68.4,120
137,9093,9093,柳井カントリー倶楽部,IN,サブ(ベント),バック,2014.06.16,中,サブ(ベント),バック,2014.06.16,72,6744,78.0,136
138,9094,9094,柳井カントリー倶楽部,IN,サブ(ベント),レギュラー,2014.06.16,中,サブ(ベント),レギュラー,2014.06.16,72,6443,76.4,129
139,9095,9095,柳井カントリー倶楽部,IN,サブ(ベント),フロント,2014.06.16,中,サブ(ベント),フロント,2014.06.16,72,6153,74.6,126
140,9096,9096,柳井カントリー倶楽部,IN,サブ(ベント),レディース,2014.06.16,中,サブ(ベント),レディース,2014.06.16,72,5145,69.0,121
141,9097,9097,柳井カントリー倶楽部,中,メイン(ベント),バック,2014.06.16,OUT,メイン(ベント),バック,2014.06.16,72,6892,78.8,141
142,9098,9098,柳井カントリー倶楽部,中,メイン(ベント),レギュラー,2014.06.16,OUT,メイン(ベント),レギュラー,2014.06.16,72,6555,76.9,134
143,9099,9099,柳井カントリー倶楽部,中,メイン(ベント),フロント,2014.06.16,OUT,メイン(ベント),フロント,2014.06.16,72,6201,74.7,133
144,9100,9100,柳井カントリー倶楽部,中,メイン(ベント),レディース,2014.06.16,OUT,メイン(ベント),レディース,2014.06.16,72,5206,69.6,126
145,9101,9101,柳井カントリー倶楽部,中,サブ(ベント),バック,2014.06.16,OUT,サブ(ベント),バック,2014.06.16,72,6965,79.1,142
146,9102,9102,柳井カントリー倶楽部,中,サブ(ベント),レギュラー,2014.06.16,OUT,サブ(ベント),レギュラー,2014.06.16,72,6628,77.2,135
147,9103,9103,柳井カントリー倶楽部,中,サブ(ベント),フロント,2014.06.16,OUT,サブ(ベント),フロント,2014.06.16,72,6296,75.2,133
148,9104,9104,柳井カントリー倶楽部,中,サブ(ベント),レディース,2014.06.16,OUT,サブ(ベント),レディース,2014.06.16,72,5289,69.9,126
149,7071,7071,三鈴カントリー倶楽部,OUT,ベント,バック,2013.08.09,IN,ベント,バック,2013.08.09,72,7010,80.2,134
158,7080,7080,三鈴カントリー倶楽部,OUT,コウライ,レディース,2013.08.09,IN,コウライ,レディース,2013.08.09,72,5135,69.4,119
159,9401,9401,宇和島カントリー倶楽部,OUT,ベント,バック,2007.06.27,IN,ベント,バック,2007.06.27,72,6840,77.8,141
160,9402,9402,宇和島カントリー倶楽部,OUT,ベント,レギュラー,2007.06.27,IN,ベント,レギュラー,2007.06.27,72,6398,75.5,135
161,9403,9403,宇和島カントリー倶楽部,OUT,ベント,フロント,2007.06.27,IN,ベント,フロント,2007.06.27,72,6314,75.1,134
162,9404,9404,宇和島カントリー倶楽部,OUT,ベント,ゴールド,2007.06.27,IN,ベント,ゴールド,2007.06.27,72,5617,71.4,124
163,9405,9405,宇和島カントリー倶楽部,OUT,ベント,レディース,2007.06.27,IN,ベント,レディース,2007.06.27,72,5324,70.0,120
164,5026,5026,境川カントリー倶楽部,OUT,Main,バック,2010.06.03,IN,Main,バック,2010.06.03,72,6531,76.2,137
195,1035,1035,小名浜カントリー倶楽部,東,ベント,レディース,2018.07.03,南,ベント,レディース,2018.07.03,72,5070,68.0,122
196,1036,1036,小名浜カントリー倶楽部,南,ベント,バック,2018.07.03,西,ベント,バック,2018.07.03,72,6699,79.5,140
197,1037,1037,小名浜カントリー倶楽部,南,ベント,レギュラー,2018.07.03,西,ベント,レギュラー,2018.07.03,72,6316,77.2,136
198,1038,1038,小名浜カントリー倶楽部,南,ベント,フロント,2018.07.03,西,ベント,フロント,2018.07.03,72,5772,73.7,128
199,1039,1039,小名浜カントリー倶楽部,南,ベント,レディース,2018.07.03,西,ベント,レディース,2018.07.03,72,4999,68.1,118
200,1040,1040,小名浜カントリー倶楽部,西,ベント,バック,2018.07.03,東,ベント,バック,2018.07.03,72,6899,80.6,143
201,1041,1041,小名浜カントリー倶楽部,西,ベント,レギュラー,2018.07.03,東,ベント,レギュラー,2018.07.03,72,6360,77.3,140
202,1042,1042,小名浜カントリー倶楽部,西,ベント,フロント,2018.07.03,東,ベント,フロント,2018.07.03,72,5829,73.7,136
203,1043,1043,小名浜カントリー倶楽部,西,ベント,レディース,2018.07.03,東,ベント,レディース,2018.07.03,72,4995,68.5,125
204,7657,7657,岸和田カントリー倶楽部,梅,ベント,レギュラー_,2007.11.20,松,ベント,レギュラー,1979.07.01,72,6157,73.6,130
205,7658,7658,岸和田カントリー倶楽部,松,ベント,レギュラー,1979.07.01,竹,ベント,レギュラー_,1979.07.01,72,6329,74.5,132
206,7659,7659,岸和田カントリー倶楽部,竹,ベント,レギュラー,1979.07.01,梅,ベント,レギュラー,1979.07.01,72,6296,74.3,132
207,6717,6717,阿山カンツリー倶楽部,OUT,メイン,バック,2014.05.09,IN,メイン,バック,2014.05.09,72,6882,80.6,147
208,6718,6718,阿山カンツリー倶楽部,OUT,メイン,レギュラー,2014.05.09,IN,メイン,レギュラー,2014.05.09,72,6489,78.6,138
209,6719,6719,阿山カンツリー倶楽部,OUT,メイン,フロント,2014.05.09,IN,メイン,フロント,2014.05.09,72,6060,75.8,134
210,6720,6720,阿山カンツリー倶楽部,OUT,メイン,レディース,2014.05.09,IN,メイン,レディース,2014.05.09,72,5053,70.5,128
211,6721,6721,阿山カンツリー倶楽部,OUT,サブ,バック,2014.05.09,IN,メイン,バック,2014.05.09,72,6871,80.5,147
212,6722,6722,阿山カンツリー倶楽部,OUT,サブ,レギュラー,2014.05.09,IN,メイン,レギュラー,2014.05.09,72,6480,78.5,139
213,6723,6723,阿山カンツリー倶楽部,OUT,サブ,フロント,2014.05.09,IN,メイン,フロント,2014.05.09,72,6026,75.5,135
214,6724,6724,阿山カンツリー倶楽部,OUT,サブ,レディース,2014.05.09,IN,メイン,レディース,2014.05.09,72,5035,70.4,127
215,1426,1426,猿島カントリー倶楽部,OUT,ベント,チャンピオン,2013.08.30,IN,ベント,チャンピオン,2013.08.30,72,7003,80.6,142
216,1427,1427,猿島カントリー倶楽部,OUT,ベント,バック,2013.08.30,IN,ベント,バック,2013.08.30,72,6621,78.2,137
217,1428,1428,猿島カントリー倶楽部,OUT,ベント,レギュラー,2013.08.30,IN,ベント,レギュラー,2013.08.30,72,6165,75.4,132
218,1429,1429,猿島カントリー倶楽部,OUT,ベント,レディース,2013.08.30,IN,ベント,レディース,2013.08.30,72,5590,71.9,126
219,3079,3079,平成倶楽部鉢形城コース,OUT,Aグリーン,バック 1,2020.11.02,IN,Aグリーン,バック 1,2020.11.02,72,6579,78.5,140
220,3080,3080,平成倶楽部鉢形城コース,OUT,Aグリーン,バック 2,2020.11.02,IN,Aグリーン,バック 2,2020.11.02,72,6517,78.2,139
221,3081,3081,平成倶楽部鉢形城コース,OUT,Aグリーン,レギュラー 1,2020.11.02,IN,Aグリーン,レギュラー 1,2020.11.02,72,6091,75.7,134
222,3082,3082,平成倶楽部鉢形城コース,OUT,Aグリーン,レギュラー 2,2020.11.02,IN,Aグリーン,レギュラー 2,2020.11.02,72,5746,73.6,130
223,3083,3083,平成倶楽部鉢形城コース,OUT,Aグリーン,レディース 1,2020.11.02,IN,Aグリーン,レディース 1,2020.11.02,72,5132,70.0,124
224,3084,3084,平成倶楽部鉢形城コース,OUT,Aグリーン,レディース 2,2020.11.02,IN,Aグリーン,レディース 2,2020.11.02,72,5003,69.3,122
225,3085,3085,平成倶楽部鉢形城コース,OUT,Bグリーン,バック 1,2020.11.02,IN,Bグリーン,バック 1,2020.11.02,72,6191,76.7,136
226,3086,3086,平成倶楽部鉢形城コース,OUT,Bグリーン,バック 2,2020.11.02,IN,Bグリーン,バック 2,2020.11.02,72,6129,76.3,135
227,3087,3087,平成倶楽部鉢形城コース,OUT,Bグリーン,レギュラー 1,2020.11.02,IN,Bグリーン,レギュラー 1,2020.11.02,72,5702,73.8,131
228,3088,3088,平成倶楽部鉢形城コース,OUT,Bグリーン,レギュラー 2,2020.11.02,IN,Bグリーン,レギュラー 2,2020.11.02,72,5379,71.7,127
229,3089,3089,平成倶楽部鉢形城コース,OUT,Bグリーン,レディース 1,2020.11.02,IN,Bグリーン,レディース 1,2020.11.02,72,4772,68.3,120
230,3090,3090,平成倶楽部鉢形城コース,OUT,Bグリーン,レディース 2,2020.11.02,IN,Bグリーン,レディース 2,2020.11.02,72,4661,67.7,119
231,6521,6521,豊田カントリー倶楽部,OUT,ベント,バック,2004.11.29,IN,ベント,バック,2004.11.29,72,6403,76.1,137
232,6522,6522,豊田カントリー倶楽部,OUT,ベント,レギュラー,2004.11.29,IN,ベント,レギュラー,2004.11.29,72,6117,74.7,133
233,6523,6523,豊田カントリー倶楽部,OUT,ベント,フロント,2004.11.29,IN,ベント,フロント,2004.11.29,72,5795,73.0,128
234,6524,6524,豊田カントリー倶楽部,OUT,ベント,レディス,2004.11.29,IN,ベント,レディス,2004.11.29,72,5624,72.2,126
235,6525,6525,豊田カントリー倶楽部,OUT,ベント,ダイヤモンド,2004.11.29,IN,ベント,ダイヤモンド,2004.11.29,72,5169,69.7,120
236,5296,5296,豊科カントリー倶楽部,OUT,すずらん,レギュラー,2014.04.04,IN,すずらん,レギュラー,2014.04.04,72,6496,77.2,140
237,5297,5297,豊科カントリー倶楽部,OUT,すずらん,バック,2014.04.04,IN,すずらん,バック,2014.04.04,72,6886,79.4,143
238,5298,5298,豊科カントリー倶楽部,OUT,すずらん,フロント,2014.04.04,IN,すずらん,フロント,2014.04.04,72,6085,74.9,135
239,5299,5299,豊科カントリー倶楽部,OUT,すずらん,レディース,2014.04.04,IN,すずらん,レディース,2014.04.04,72,5810,73.0,133
240,5300,5300,豊科カントリー倶楽部,OUT,あやめ,レギュラー,2014.04.04,IN,あやめ,レギュラー,2014.04.04,72,6238,75.6,137
241,5301,5301,豊科カントリー倶楽部,OUT,あやめ,バック,2014.04.04,IN,あやめ,バック,2014.04.04,72,6623,77.8,141
242,5302,5302,豊科カントリー倶楽部,OUT,あやめ,フロント,2014.04.04,IN,あやめ,フロント,2014.04.04,72,5837,73.2,131
243,5303,5303,豊科カントリー倶楽部,OUT,あやめ,レディース,2014.04.04,IN,あやめ,レディース,2014.04.04,72,5561,71.5,128
250,9193,9193,徳島カントリー倶楽部,OUT,ベント,ピンク,2019.12.05,IN,ベント,ピンク,2019.12.05,72,5173,69.8,121
251,2451,2451,入間カントリー倶楽部,OUT,Aグリーン,フルバック,2013.10.04,IN,Aグリーン,フルバック,2013.10.04,72,6654,78.6,138
252,2452,2452,入間カントリー倶楽部,OUT,Aグリーン,バック,2013.10.04,IN,Aグリーン,バック,2013.10.04,72,6527,77.8,137
253,2453,2453,入間カントリー倶楽部,OUT,Aグリーン,レギュラー,2013.10.04,IN,Aグリーン,レギュラー,2013.10.04,72,6170,75.8,131
